Date,HSN,Product Description,Origin,Destination,Qty,Price
27-09-2024,53050040,"PITH BLOCK HEC  COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,South Korea,89 MTS,$20818.80
27-09-2024,53050010,"COCONUT FIBRE  COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,China,133.23 MTS,$18533.35
26-09-2024,53050040,"COIR PITH 5KG BLOCKS 3892PCS "" COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,United States,KGS 19460.00,$9062.13
26-09-2024,53050040,"GROW!T COCO COIR COIR PITH CROUTONS 28L "" COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,United States,KGS 348.00,$317.39
26-09-2024,53050010,"COCONUT FIBRE  COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,China,KGS 141900.00,$19565.08
26-09-2024,53050040,"COCO COIR COIR PITH QUICKXPAND BLOCK 6""X6""X4"" "" COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,United States,KGS 5961.00,$5852.64
26-09-2024,53050040,"COIR PITH H58 4KG BLOCKS 4900PCS "" COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,United States,KGS 19600.00,$11743.59
26-09-2024,53050010,"COCONUT FIBRE  COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,China,KGS 89880.00,$11935.40
26-09-2024,53050040,"COIR PITH 5KG BLOCKS 3910PCS "" COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,United States,KGS 19550.00,$9104.05
26-09-2024,53050040,"COIR PITH 5KG BLOCKS 3906PCS "" COCONUT, ABACA MANILA HEMP OR MUSA TEXTILIS NEE, RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES INCLUDING YARN WASTE AND GARNETTED STOCK",India,United States,KGS 19530.00,$9094.73
